manifest_version,flow_id,edge_id,from_boundary,to_boundary,required_row_ids,required_post_state
release-a-v1,outbound-mt,admit,public-http,canonical-submit,H-001;H-002;H-004;H-007;H-008;H-009,"{""admission"":""accepted-or-explicit-error""}"
release-a-v1,outbound-mt,route-bill,canonical-submit,durable-parts,H-006;A-002;B-001;B-002;B-004;B-005;B-006;B-008,"{""authorization"":""once"",""parts"":""durable""}"
release-a-v1,outbound-mt,broker-submit,durable-parts,smppc-consumer,A-001;A-002;A-009;A-010,"{""delivery"":""owned""}"
release-a-v1,outbound-mt,smsc-roundtrip,smppc-consumer,submit-result,S-001;SP-001;SP-002;SC-003;SC-004;SC-005;SC-006,"{""result"":""correlated-or-unknown-after-send""}"
release-a-v1,outbound-mt,result-effects,submit-result,billing-dlr-state,A-003;A-008;A-009;B-007;B-009;B-010;RD-001;RD-002,"{""local_effects"":""idempotent""}"
release-a-v1,dlr,receipt,smsc-receipt,inbound-demux,SP-003;SP-006;SP-008,"{""receipt"":""classified""}"
release-a-v1,dlr,correlate,inbound-demux,dlr-state,RD-001;RD-002;RD-004;RD-005,"{""correlation"":""terminal-or-owned-missing""}"
release-a-v1,dlr,callback,dlr-state,external-callback,A-006;A-007;HC-003;HC-004;HC-005;HC-006;HC-007,"{""callback"":""acked-or-durable-retry""}"
release-a-v1,mo,ingest,smsc-mo,inbound-demux,A-004;SP-003;SP-004,"{""message"":""classified""}"
release-a-v1,mo,assemble,inbound-demux,canonical-mo,RD-003;SE-006,"{""multipart"":""assembled-or-expiring""}"
release-a-v1,mo,egress,canonical-mo,external-mo-consumer,A-005;HC-001;HC-002,"{""egress"":""acked-or-durable-retry""}"
release-a-v1,smpps-submit,bind,smpps-socket,bound-session,S-002;S-003;S-004;SS-001,"{""session"":""authenticated""}"
release-a-v1,smpps-submit,submit,bound-session,canonical-submit,SS-002;SS-003;SS-005;B-011,"{""submission"":""canonical""}"
release-a-v1,smpps-submit,response,canonical-submit,smpps-response,A-002;SP-002,"{""response"":""protocol-visible""}"
