manifest_version,flow_id,edge_id,capability,row_id,current_status,required_for_cutover,dependencies,oracle_surface,go_packages,owner,tier_b_scope,tier_c_required,deviation_id,approval_evidence,rollback_invariant
release-a-v1,outbound-mt,admit,public-http-to-canonical-submit,H-001,MATCH,yes,,spec/compatibility/HTTP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,admit,public-http-to-canonical-submit,H-002,MATCH,yes,,spec/compatibility/HTTP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,admit,public-http-to-canonical-submit,H-004,MATCH,yes,,spec/compatibility/HTTP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,admit,public-http-to-canonical-submit,H-007,MATCH,yes,,spec/compatibility/HTTP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,admit,public-http-to-canonical-submit,H-008,MATCH,yes,,spec/compatibility/HTTP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,admit,public-http-to-canonical-submit,H-009,MATCH,yes,,spec/compatibility/HTTP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,route-bill,canonical-submit-to-durable-parts,H-006,MATCH,yes,,spec/compatibility/HTTP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,route-bill,canonical-submit-to-durable-parts,A-002,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,route-bill,canonical-submit-to-durable-parts,B-001,GO-PARTIAL,yes,,spec/compatibility/ROUTING_BILLING_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,route-bill,canonical-submit-to-durable-parts,B-002,GO-PARTIAL,yes,,spec/compatibility/ROUTING_BILLING_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,route-bill,canonical-submit-to-durable-parts,B-004,GO-PARTIAL,yes,,spec/compatibility/ROUTING_BILLING_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,route-bill,canonical-submit-to-durable-parts,B-005,GO-PARTIAL,yes,,spec/compatibility/ROUTING_BILLING_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,route-bill,canonical-submit-to-durable-parts,B-006,GO-PARTIAL,yes,,spec/compatibility/ROUTING_BILLING_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,route-bill,canonical-submit-to-durable-parts,B-008,INVENTORIED,yes,,spec/compatibility/ROUTING_BILLING_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,broker-submit,durable-parts-to-smppc-consumer,A-001,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,broker-submit,durable-parts-to-smppc-consumer,A-002,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,broker-submit,durable-parts-to-smppc-consumer,A-009,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,broker-submit,durable-parts-to-smppc-consumer,A-010,INVENTORIED,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,smsc-roundtrip,smppc-consumer-to-submit-result,S-001,GO-PARTIAL,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,smsc-roundtrip,smppc-consumer-to-submit-result,SP-001,GO-PARTIAL,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,smsc-roundtrip,smppc-consumer-to-submit-result,SP-002,GO-PARTIAL,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,smsc-roundtrip,smppc-consumer-to-submit-result,SC-003,GO-PARTIAL,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,smsc-roundtrip,smppc-consumer-to-submit-result,SC-004,GO-PARTIAL,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,smsc-roundtrip,smppc-consumer-to-submit-result,SC-005,GO-PARTIAL,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,smsc-roundtrip,smppc-consumer-to-submit-result,SC-006,GO-PARTIAL,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,result-effects,submit-result-to-billing-dlr-state,A-003,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,result-effects,submit-result-to-billing-dlr-state,A-008,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,result-effects,submit-result-to-billing-dlr-state,A-009,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,result-effects,submit-result-to-billing-dlr-state,B-007,GO-PARTIAL,yes,,spec/compatibility/ROUTING_BILLING_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,result-effects,submit-result-to-billing-dlr-state,B-009,INVENTORIED,yes,,spec/compatibility/ROUTING_BILLING_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,result-effects,submit-result-to-billing-dlr-state,B-010,INVENTORIED,yes,,spec/compatibility/ROUTING_BILLING_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,outbound-mt,result-effects,submit-result-to-billing-dlr-state,RD-001,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,dlr,yes,,,
release-a-v1,outbound-mt,result-effects,submit-result-to-billing-dlr-state,RD-002,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,dlr,yes,,,
release-a-v1,dlr,receipt,smsc-receipt-to-inbound-demux,SP-003,GO-PARTIAL,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,dlr,yes,,,
release-a-v1,dlr,receipt,smsc-receipt-to-inbound-demux,SP-006,GO-PARTIAL,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,dlr,receipt,smsc-receipt-to-inbound-demux,SP-008,GO-PARTIAL,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,dlr,correlate,inbound-demux-to-dlr-state,RD-001,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,dlr,yes,,,
release-a-v1,dlr,correlate,inbound-demux-to-dlr-state,RD-002,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,dlr,yes,,,
release-a-v1,dlr,correlate,inbound-demux-to-dlr-state,RD-004,INVENTORIED,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,dlr,yes,,,
release-a-v1,dlr,correlate,inbound-demux-to-dlr-state,RD-005,INVENTORIED,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,dlr,yes,,,
release-a-v1,dlr,callback,dlr-state-to-external-callback,A-006,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,dlr,yes,,,
release-a-v1,dlr,callback,dlr-state-to-external-callback,A-007,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,dlr,yes,,,
release-a-v1,dlr,callback,dlr-state-to-external-callback,HC-003,INVENTORIED,yes,,spec/compatibility/HTTP_MATRIX.md,,Integrator,dlr,yes,,,
release-a-v1,dlr,callback,dlr-state-to-external-callback,HC-004,INVENTORIED,yes,,spec/compatibility/HTTP_MATRIX.md,,Integrator,dlr,yes,,,
release-a-v1,dlr,callback,dlr-state-to-external-callback,HC-005,INVENTORIED,yes,,spec/compatibility/HTTP_MATRIX.md,,Integrator,dlr,yes,,,
release-a-v1,dlr,callback,dlr-state-to-external-callback,HC-006,INVENTORIED,yes,,spec/compatibility/HTTP_MATRIX.md,,Integrator,dlr,yes,,,
release-a-v1,dlr,callback,dlr-state-to-external-callback,HC-007,INVENTORIED,yes,,spec/compatibility/HTTP_MATRIX.md,,Integrator,dlr,yes,,,
release-a-v1,mo,ingest,smsc-mo-to-inbound-demux,A-004,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,mo,yes,,,
release-a-v1,mo,ingest,smsc-mo-to-inbound-demux,SP-003,GO-PARTIAL,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,dlr,yes,,,
release-a-v1,mo,ingest,smsc-mo-to-inbound-demux,SP-004,INVENTORIED,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,mo,yes,,,
release-a-v1,mo,assemble,inbound-demux-to-canonical-mo,RD-003,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,mo,yes,,,
release-a-v1,mo,assemble,inbound-demux-to-canonical-mo,SE-006,INVENTORIED,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,mo,yes,,,
release-a-v1,mo,egress,canonical-mo-to-external-mo-consumer,A-005,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,mo,yes,,,
release-a-v1,mo,egress,canonical-mo-to-external-mo-consumer,HC-001,INVENTORIED,yes,,spec/compatibility/HTTP_MATRIX.md,,Integrator,mo,yes,,,
release-a-v1,mo,egress,canonical-mo-to-external-mo-consumer,HC-002,INVENTORIED,yes,,spec/compatibility/HTTP_MATRIX.md,,Integrator,mo,yes,,,
release-a-v1,smpps-submit,bind,smpps-socket-to-bound-session,S-002,INVENTORIED,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,smpps,yes,,,
release-a-v1,smpps-submit,bind,smpps-socket-to-bound-session,S-003,INVENTORIED,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,smpps,yes,,,
release-a-v1,smpps-submit,bind,smpps-socket-to-bound-session,S-004,INVENTORIED,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,smpps,yes,,,
release-a-v1,smpps-submit,bind,smpps-socket-to-bound-session,SS-001,INVENTORIED,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,smpps,yes,,,
release-a-v1,smpps-submit,submit,bound-session-to-canonical-submit,SS-002,INVENTORIED,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,smpps,yes,,,
release-a-v1,smpps-submit,submit,bound-session-to-canonical-submit,SS-003,INVENTORIED,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,smpps,yes,,,
release-a-v1,smpps-submit,submit,bound-session-to-canonical-submit,SS-005,INVENTORIED,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,smpps,yes,,,
release-a-v1,smpps-submit,submit,bound-session-to-canonical-submit,B-011,INVENTORIED,yes,,spec/compatibility/ROUTING_BILLING_MATRIX.md,,Integrator,smpps,yes,,,
release-a-v1,smpps-submit,response,canonical-submit-to-smpps-response,A-002,GO-PARTIAL,yes,,spec/compatibility/AMQP_REDIS_MATRIX.md,,Integrator,outbound-a,yes,,,
release-a-v1,smpps-submit,response,canonical-submit-to-smpps-response,SP-002,GO-PARTIAL,yes,,spec/compatibility/SMPP_MATRIX.md,,Integrator,outbound-a,yes,,,
