row_id,primary_macro,primary_task,dependency_tasks,subcontract_boundary
S-001,MS-1,Task 1.1,,
SP-001,MS-1,Task 1.1,,
SP-005,MS-1,Task 1.1,,
SP-006,MS-1,Task 1.1,,
SP-007,MS-1,Task 1.1,,
SP-008,MS-1,Task 1.1,,
SE-001,MS-1,Task 1.1,,
SE-002,MS-1,Task 1.1,,
SE-003,MS-1,Task 1.1,,
H-010,MS-1,Task 1.2,,
H-011,MS-1,Task 1.2,,
A-001,MS-1,Task 1.2,,
SC-001,MS-1,Task 1.2,,
SC-002,MS-1,Task 1.2,,
SP-002,MS-1,Task 1.3,,
SC-005,MS-1,Task 1.3,Task 1.1,Decoded SubmitSM must precede readiness and settlement
SC-006,MS-1,Task 1.3,,
SC-008,MS-1,Task 1.3,,
A-003,MS-1,Task 1.3,,
A-008,MS-1,Task 1.3,,
A-009,MS-1,Task 1.3,,
B-007,MS-1,Task 1.3,,
B-009,MS-1,Task 1.3,,
B-010,MS-1,Task 1.3,Task 1.4,Multipart redelivery must preserve aggregate billing idempotency
A-002,MS-1,Task 1.4,,
B-001,MS-1,Task 1.4,,
B-002,MS-1,Task 1.4,,
B-003,MS-1,Task 1.4,,
B-004,MS-1,Task 1.4,,
B-005,MS-1,Task 1.4,,
B-006,MS-1,Task 1.4,,
SC-003,MS-1,Task 1.5,,
SC-004,MS-1,Task 1.5,,
SC-007,MS-1,Task 1.5,,
S-005,MS-1,Task 1.5,,
S-006,MS-1,Task 1.5,,
S-007,MS-1,Task 1.5,,
A-010,MS-1,Task 1.5,,
P-001,MS-6,Task 2.1,,
P-002,MS-6,Task 2.1,,
P-003,MS-6,Task 2.1,,
P-004,MS-6,Task 2.1,,
P-005,MS-6,Task 2.1,,
P-006,MS-6,Task 2.1,,
P-007,MS-6,Task 2.1,,
P-008,MS-6,Task 2.1,,
P-009,MS-6,Task 2.1,,
P-010,MS-6,Task 2.1,,
SP-003,MS-2,Task 3.1,,
RD-001,MS-2,Task 3.1,Task 1.3,Durable outbound response creates DLR correlation state
RD-002,MS-2,Task 3.1,Task 1.3,Durable outbound response creates SMSC correlation state
RD-004,MS-2,Task 3.1,,
RD-005,MS-2,Task 3.1,,
A-006,MS-2,Task 3.2,,
A-007,MS-2,Task 3.2,,
HC-003,MS-2,Task 3.2,,
HC-004,MS-2,Task 3.2,,
HC-005,MS-2,Task 3.2,,
HC-006,MS-2,Task 3.2,,
HC-007,MS-2,Task 3.2,,
A-004,MS-3,Task 4.1,,
A-005,MS-3,Task 4.1,,
RD-003,MS-3,Task 4.1,,
SP-004,MS-3,Task 4.1,Task 3.1,Shared inbound demux must classify data_sm
SE-006,MS-3,Task 4.1,,
HC-001,MS-3,Task 4.1,,
HC-002,MS-3,Task 4.1,,
RT-001,MS-5,Task 4.2,,
RT-002,MS-5,Task 4.2,,
RT-003,MS-5,Task 4.2,,
RF-001,MS-5,Task 4.2,,
RF-002,MS-5,Task 4.2,,
RF-003,MS-5,Task 4.2,,
RF-004,MS-5,Task 4.2,,
RF-005,MS-5,Task 4.2,,
RF-006,MS-5,Task 4.2,,
RF-007,MS-5,Task 4.2,,
RF-008,MS-5,Task 4.2,,
RF-009,MS-5,Task 4.2,,
RF-010,MS-5,Task 4.2,,
RF-011,MS-5,Task 4.2,,
RF-012,MS-5,Task 4.2,,
RR-001,MS-5,Task 4.2,,
RR-002,MS-5,Task 4.2,,
RR-003,MS-5,Task 4.2,,
RR-004,MS-5,Task 4.2,,
RR-005,MS-5,Task 4.2,,
RR-006,MS-5,Task 4.2,,
RR-007,MS-5,Task 4.2,,
RR-008,MS-5,Task 4.2,Task 1.5,Observed connector availability drives failover
RR-009,MS-5,Task 4.2,,
RR-010,MS-5,Task 4.2,,
RI-001,MS-5,Task 4.2,,
RI-002,MS-5,Task 4.2,,
RI-003,MS-5,Task 4.2,,
RI-004,MS-5,Task 4.2,,
RI-005,MS-5,Task 4.2,,
RI-006,MS-5,Task 4.2,,
S-002,MS-4,Task 4.3,,
S-003,MS-4,Task 4.3,,
S-004,MS-4,Task 4.3,,
SS-001,MS-4,Task 4.3,,
SS-002,MS-4,Task 4.3,,
SS-003,MS-4,Task 4.3,,
SS-004,MS-4,Task 4.3,,
SS-005,MS-4,Task 4.3,Task 1.4,Shared multipart and billing semantics required
B-011,MS-4,Task 4.3,Task 1.4,SMPP server must execute shared HTTP submit pipeline
PB-001,MS-6,Task 5.1,,
PB-002,MS-6,Task 5.1,,
PB-003,MS-6,Task 5.1,,
PB-004,MS-6,Task 5.1,,
PB-005,MS-6,Task 5.1,,
PB-006,MS-6,Task 5.1,,
PB-007,MS-6,Task 5.1,,
PB-008,MS-6,Task 5.1,,
PB-009,MS-6,Task 5.1,,
PB-010,MS-6,Task 5.1,,
PB-011,MS-6,Task 5.1,,
PB-012,MS-6,Task 5.1,,
PB-013,MS-6,Task 5.1,,
PB-014,MS-6,Task 5.1,,
R-001,MS-8,Task 6.1,,
R-002,MS-8,Task 6.1,,
R-003,MS-8,Task 6.1,,
R-004,MS-8,Task 6.1,,
